subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Geography,2003,Manufacturing industries contribute to national development by?,adding value to local products,attracting foreign migrants,producing a variety of goods,building industrial estates,A
Geography,2003,"Industrial Europe, North America and Japan are the major importers of?",raw materials,manufactured goods,iron and steel,building materials,A
Geography,2003,Open cast mining often leads to the?,degradation of the topsoil,replenishment of the soil,production of fetile soils,extinction of animals,A
Geography,2003,The reindeer and the camel are commonly used as beasts of burden in the?,Rockies and the Atacama Desert,polar region and the Sahara Desert,Antarctica and the Australian Desert,Andes and the Kalahari Desert,B
Geography,2003,Which of the following groups of factors is most likely to influence industrial location?,"Raw materials, energy and market","Capital, raw material and population growth","Market, emigration and labour","Transport, raw material and migration",A
Geography,2003,Secondary economic activities are those that involve the?,packaging of finished goods,distribution of raw materials,distribution of finished goods,processing of raw materials,D
Geography,2003,The towns that owe their origin and growth to the presence of localized mineral resources are?,Jos ans Abeokuta,Kano and Eungu,Jos and Eungu,Port Harcourt and Onitsha,C
Geography,2003,Soil conservation can be achieved through?,floriculture,monoculture,mechanization,stripe-cropping,D
Geography,2003,One of the steel-rolling mills in Nigeria is located at?,Ajaokuta,Ovwian-Aladja,Jos,Eungu,B
Geography,2003,Wheat has gained importance in Nigeria's agriculture as a result of the?,increased use of fertilizers,gradual change in climate,increased purchasing power of the citizens,introduction of large-scale irrigation,D
Geography,2003,Annual total rainfall decreases generally from the south to the north of Nigeria because of the?,longitudinal spread along the coast,latitudinal spread from the sea,relief pattern of the country,drainage pattern of the country,A
Geography,2003,The Lagos area has emerged as the most prominent destination for internal migration because it is?,on a high plain and highly industrialized,close to the coast and densely populated,highgly industrialized and highly urbanized,agriculturally productive and close to the coast,C
Geography,2003,The planting of eucalyptus trees on the Jos Plateau is to?,reclaim the soil,provide firewood,prevent desertification,provide wind breakers,D
Geography,2003,Industrialization in Nigeria can best be promoted through the development of?,textile manufacturing,vegetable oil processing,iron and steel processing,automobile manufacturing,C
Geography,2003,The single most successful large-scale irrigation project in tropical Africa is the?,VOLT RIVER Project,Chad Basin Project,Gezira Scheme,Nile Delta Scheme,D
Geography,2003,Iron Ore mining in Africa is carried out in?,"Ghana, Niger and Epygt","Democratic Republic of Congo, Namibia and Sierre Leone","Tunisia, Democratic Republic of Congo and Ghana","Kenya, Tunisia and Sudan",B
Geography,2003,Two good examples of sheltered estuaries which are also natural harbors in West Africa are?,Lagos and Takoradi,Banjul and warri,Freetown and Dakar,Warri and Accra,C
Geography,2003,"[Figure required]
The most common mature soil types in the shaded portion are",alluvial soil,forest soil,drifts soils,laterite soil,A
Geography,2003,"[Figure required]
The condition that promotes the formation of these soils is",distinct wet and dry season,dense tropical rain forest,extensive savannah grassland,dense rural plantation,A
Geography,2003,"[Figure required]
If the management of school Y decides to award scholarship to the top 10% of the students, determine the lowest mark to qualify for a scholarship",86%,82%,78%,74%,C
Geography,2003,"[Figure required]
How many students scored between 6% and 60%",70,66,62,58,A
Geography,2003,"[Figure required]
Which of the following pairs of settlements is intervisible?",Abuojo and Hua,Miki and Abuojo,Hua and Bikun,Bikun and Abuojo,D
Geography,2003,"[Figure required]
The approximate gradient between the point marked X and the trigonometrical station is",1:7,1:9,1:11,1:13,D
Geography,2003,"[Figure required]
The most important economic activity in Nuriki District is",Fishing,Farming,Mining,Lumbering,B
Geography,2003,"[Figure required]
The total land area of Nuriki District is",290sq km,300sq km,310sq km,320 sq km,B
Geography,2003,"[Figure required]
The steepest part of the area is devoid of settlements because it",Lacks roads,Is too high,Is thinly vegetated,Is prone to erosion,B
Geography,1998,"If a map has a scale of 1 :50 000 and a cocoa plantation is represented on the map by a rectangle 5cm by 4cm, what is the area of the plantation?",5 km 2,6 km 2,20 km 2,25 km 2,A
Geography,1998,"If the distance between two points on a map with scale 1 : 50 000 is 35 mm, what is the distance between them on the ground.",1.50 km,1.55 km,1.75 km,1.85 km,C
Geography,1998,The best method of depicting the relative contribution of the southern states of Nigeria to palm Kernel export from the country is the?,dot map,line graph,pie graph,choropleth graph,A
Geography,1998,On which of the following pairs of dates is the length of day and night equal on the earth's surface?,June 21st and September 21st,March 22nd and December 22nd,June 21st and December 22nd,March 22nd and September 21st,D
Geography,1998,The time difference between New Orleans on longitude 90°W and Cairo on longitude 30°E is?,4 hours,8 hours,12 hours,16 hours,B
Geography,1998,Recent space explorations indicate that the other planet of the solar system with the possibility of having had life-supporting conditions in the past is?,Pluto,Mercury,Mars,Jupiter,C
Geography,1998,An example of a set of chemically formed sedimentary rocks is?,sandstone and grit,dolomite and gypsum,peat and coal,flint and shale,B
Geography,1998,The rock type is not likely to produce rich agricultural soil after weathering is?,volcanic rock,granite rock,graphite,limestone,A
Geography,1998,The sequence of events that best describes the formation of sandstone is?,"dissolution, denudation and consolidation","extrusion, denudation and deposition","intrusion, granulation and consolidation","deposition, consolidation and cementation",B
Geography,1998,A desert landform made up of alternate horizontal layers of soft and hard rocks and characterized by ridges and furrows aligned in the direction of the wind is known as?,yardang,zeugen,horst,playa,B
Geography,1998,"When a river capture occurs, the beheaded stream is called the?",pirate,gap,elbow,misfit,D
Geography,1998,The world's principal fishing regions are located on continental shelves where?,there are no noticeable ocean currents meet,there are cold ocean currents,there are no warm ocean currents,cold and warm currents meet,B
Geography,1998,What do the Canaries and Guinea currents have in common?,They are warm currents,They are cold currents,They wash the western coast,They flow away from the equator,C
Geography,1998,"After condensation, the rate of cooling of a rising air mass decreases because it becomes?",stable,lighter,denser,warmer,C
Geography,1998,The critical temperature at which the air being cooled becomes saturated with vapor is known as the?,condensation trail,relative humidity,dew point,wet adiabat,C
Geography,1998,"Plant growth normally ceases, when the temperature falls below?",0°C,6°C,10°C,15°C,B
Geography,1998,"A soil sample consisting of 49% sand, 28% silt and 23% clay is classified as?",sand,loam,sandy clay,clay,B
Geography,1998,Iron deposit is a natural resource when it occurs?,in high concentrations,with few impurities,in economic quantities,in sedimentary formations,C
Geography,1998,The fundamental role played by the decomposers in the functioning ecosystem is the?,diposal of plant ana animals waste products,releases of energy and nutrients locked up in organic litter,precipitation of organic and mineral elements from the soil,cycling of water and chemical elements,B
Geography,1998,"In the hydrological cycle, the transfer of water from the earth surface to the atmosphere is by?",precipitation,infiltration,evaporation,condensation,C
Geography,1998,A solution to wind erosion in semi-arid areas is the establishment of?,crop strips,terrace bounds,shelter belts,diversion channels,C
Geography,1998,High density rural-agricultural population is a common feature of?,"Java, Western Europe and the Nile valley","Java, the Ganges valley and the valley lowland of China","the Ganges valley, the Rhur District and Central Europe","the valley lowland of China, Java and the tokoyo- Yokohama region",B
Geography,1998,The most important catalyst in the growth of major cities of the world today relates to developments,Information and service industries,oil and automotive industries,foreign trade and automotive politics,film and entertainment industries,B
Geography,1998,The level of utilization of resources in a country does not depend only on the population size but also on the?,standard of living,population density,life expectancy,population mobility,A
Geography,1998,A concentration of dwellings built on land neither owned nor rented by the builders is termed?,rural settlement,urban settlement,squatter settlement,dispersed settlement,C
Geography,1998,A common natural response of people to the problem of uneven distribution of resources in a place is?,hoarding,shifting cultivation,family planning,migration,D
Geography,1998,"Blantyre, Rio de Janeiro, New York and Lagos are similar in that they serve as their countries'?",political headquaters,commercial centres,major seaports,cultural centres,B
Geography,1998,Which of the features is associated with dairy farming in the temperate region?,it is both labour and capital-intensive,it flourishes in sparsely populated areas,it requires extensive plain land,it does best in the warmer areas,A
Geography,1998,"A growing season of about 5 months, flooded or irrigated land and high annual temperature of at least 21°C. The above conditions are required for the cultivation of?",rice,rubber,tea,coffee,A
Geography,1998,The Tennessee Valley Authority can best be said to administer?,a multi-purpose river basin development project,an agricultural generation project,an electricity power generation project,a flood control project,A
Geography,1998,The high cost of lumbering operations in tropical forests is mainly due to?,shortage of labour,absence of many rivers,absence of pure stands of trees,low quality of available timber,C
Geography,1998,The group of towns most important for automobile manufacturing is?,"Osaka, Kaduna and London","Detroit, Tokyo and Turin","New York, Los Angeles and Lagos","Nagoya, Cairo and Moscow",B
Geography,1998,Which of the following irrigation schemes is the most successful in Nigeria?,The Kiri Dam Project,The Zobe Dam Project,The Zobe Dam Project,The Kano River Project,B
Geography,1998,"In Nigeria, geographical location poses the greatest hindrance to economic development in the?",Eastern Scarplands,Eastern Highlands,Western Highlands,Niger-Benue Trough,B
Geography,1998,Two types of landscapes associated with highland areas in Nigeria are?,inselberg and volcanic landscapes,inselberg and deltaic landscape,volcanic and alluvial landscapes,lateritic and deltaic lanscapes,A
Geography,1998,Two major causes of environmental population in the Niger Delta are?,oil blowout and gas flaring,road construction and pipe laying,deforestation and water polllution,creek erosion and waste dumping,A
Geography,1998,A major rift is crossed when traveling by road from?,Lobito to Luanda,Matadi to Kinshaa,Dar-es Salaam to Mombasa,Kampala to Mombasa,D
Geography,1998,"Virtually all the rainfall occurs between June to September and during this period, the daily maximum temperatures are consistently over 37°C. This statement is true of?",Algiers,Bujubura,Bulawayo,Gao,D
Geography,1998,The leading producers of diamond in Africa are?,Ghana amd Zambia,Namibia and Botswana,Botswana and sierra Leone,South Africa and the Democratic Republic of Congo,D
Geography,1998,"[Figure required]
The feature marked F-F is a",normal fault,thrust fault,tear fault,reverse fault,A
Geography,1998,"[Figure required]
The force that is responsible for this type of process is primarily",tensional,compressional,gravitational,kinetic,A
Geography,1998,Month J F M A M J J A S O N D Temp o C -22 -22 -21 -4 2 5 5 1 1 -4 -10 17 Precip (mm) 10 13 18 18 15 13 13 28 28 28 28 13 The annual range of temperature for the station is,-27 o C,-22 o C,17 o C,27 o C,D
Geography,1998,"Structure of export Trade of selected countries expressed in percentages as below; Country H J K L Fuel, Minerals 95 1 15 45 & Metals Other Pry. commodities 2 1 45 35 Mach., Trans Equipment - 60 13 4 Other Manufactured 3 38 27 16 Products The country with a pattern of export trade similar to that depicted by J is",Brazil,Japan,U.S.A,Australia,B
Geography,1998,"Structure of export Trade of selected countries expressed in percentages Country H J K L Fuel, Minerals 95 1 15 45 & Metals Other Pry. commodities 2 1 45 35 Mach., Trans Equipment - 60 13 4 Other Manufactured 3 38 27 16 Products With this export trade structure, the economy of H may be subject to",fluctuation world market price for its major export,structural adjustment programme,huge expenditure on food import programme,mismanagement of the export earning,A
Geography,1998,"$\begin{array}{c|c} Month, J& F, M, A, M, J, J, A, S, O, N, D\\ \text{Temp(C)}, -22, -22, -21, -4, 2, 5, 5, 1, 1, -4, -10, 17 \\ \text{Precip(mm)}, 10, 13, 18, 18, 15, 13, 13, 28, 28, 28, 28, 13 \\ \end{array}$ The climatic region represented above is",Laurentian,Siberian,Arctic,Steppe,C
Geography,1998,"[Figure required]
The average gradient of the road descending the spur into Bobo town is approximately",1:37,1:42,1:47,1:52,D
Geography,1998,"[Figure required]
The low islands and extensive sand banks indicate that the channel of River Bintu is probably",Deep,Eroding,Shallow,Navigable,C
Geography,1998,"[Figure required]
To build a road from Achira to Gara will require",A cutting,An embarkment,A tunnel,A levee,B
Geography,1998,"[Figure required]
Motorists will probably cross the river from Bobo to Achira by",Drawbridge,Ship,Boat,Ferry,A
Geography,1998,"[Figure required]
The most important factor that probably explains the distribution of cultivation on the mapped area is",Drainage,Settlement,Road,Climate,A
Geography,1992,A radio message sent from a location on longitude 15°W at 7.00 a.m is received at another location at 2.00 p.m on the same day. What is the longitudinal position of the other location?,105°E,105°W,90°E,90°W,C
Geography,1992,"From a point, the whole circle bearing of a line is 135°. A clockwise angle from the line was measured to be 260° to another line. What is the whole circle bearing of the later line?",35°,125°,225°,395°,B
Geography,1992,The most important factors that determine the amount of water that a rock later can hold are its ?,hardness and permeability,thickness and depth from the surface,hardness and thickness,thickness and permeability,A
Geography,1992,The stratification of sedimentary rocks is mainly caused by?,lateral pressure being applied from two sides,deposition of rocks particles in layers,the sorting action of the wind,wave action and longshore drift,B
Geography,1992,Steeps-sided and flat-floored valleys found in hot desert are the products of?,fluvial erosion,wind abrasion,wind deflation,glacial erosion,B
Geography,1992,The older fold mountains are much lower in elevation and less rugged than the younger ones largely because they?,are less resistance to erosion,have been subjected to greater instability,have experience a longer period of denudation,have been subjected to greater faulting,C
Geography,1992,An off-shore bar formed by corals is known as?,an atoll,a coral reef,a fringing reef,a barrier reef,C
Geography,1992,The difference in the readings on the dry and wet bulb thermometers is used to determine?,atmospheric pressure,range of temperature,evaportraspriation,relative humidity,D
Geography,1992,Which of the following produces a continuous record of atmospheric pressure?,Mercury barometer,Barometer,Aneroid barometer,Altimeter,B
Geography,1992,"In which of the following types of vegetation would broad-leaved evergreen, lianas and epiphytyes be commonly found?",Deciduous woodland,Chaparral,Tropical rainforest,Boral forest,C
Geography,1992,A tree unique to the tropical Monsoon climate is the?,fir,oil palm,teak,encalyptus,C
Geography,1992,The fertility of the soil in a typical tropical rainforest is maintained by the?,abundant sunshine and rainfall,wide variety of animals,abundant supply of litter,relatively cool micro-climate,C
Geography,1992,The main process of soil formation in the cool temperate continental grasslands of the world is?,calcification,salinization,ferrallitization,podzolization,A
Geography,1992,The most critical cause of desertification in Nigeria is?,excessively high temperatures,extremely low rainfall,environment pollution,excessive pressure of land use,D
Geography,1992,One of the soil- related problems of irrigation in the savannah region is increasing?,salinization,erosion,desiccation,exhaustion,D
Geography,1992,The state of equilibrium reached by the vegetation of an area when it is left undisturbed for along period of time is called its?,climax,ecosystem,food chain,tropical level,A
Geography,1992,"One of the major environmental problem facing agriculture and forestry in North America, which can be attributed to modern industrial development is?",frost damage,water pollution,accellerated erosion,acid rain,D
Geography,1992,A broad- based population structure implies a?,high level of industrial development,high dependency ratio,low growth rate,large economically active population,B
Geography,1992,A major world population problem is that countries which have very large populations and very high population growth rates are generally those which?,posses very limited natural resources,suffer serious industrial population,are located in climatically marginal areas,are least able to provide for the population,D
Geography,1992,The growth in population in a city is usually due to?,natural increase and emigration,immigration and natural increase,immigration and emigration,high birth rate and low death rate,D
Geography,1992,Which of the following areas has been an important source of migration into North America?,South Africa,Southern Europe,South America,East Africa,C
Geography,1992,Which of the following statements about the relationship between urban and rural areas is TRUE?,Urban centers depend on rural areas for innovations,Rural areas depends on urban centers for labours,Rural areas obtain industiral raw materials from urban centers,Urban centres and rural areas are interdependent,D
Geography,1992,Which of the following group of settlements is arranged in order of increasing size?,"Village, hamlet, city, town, megalopolis, conurbation","Hamlet, village, town, city, megalopolis, conurbation","Hamlet village, town, city, conurbation, megaloplis","Hamlet, village, city, conurbation, town, megaloplis",C
Geography,1992,Which of these sets of features enhance the nucleation of settlements?,Route intersections and wet points,Fertile broad plains and natural harbours,Narrow valleys and rugged highlands harbours,Dissected plains and route intersections,A
Geography,1992,A good overland transportation system promotes economic development because it?,fosters interregational trade,reduces depreciation of motor vehicles,reduces fuel consumption,provides employment for drivers,A
Geography,1992,Which of the following groups of products is transported in large quantities on the st. Lawrence Great Lakes Waterways?,"Wheat, iron ore and bananas","Wheat, iron ore and crude oil","Iron ore, bauxite and cattle","Crude oil, wheat and cotton",B
Geography,1992,The movement of some industries from Europe to South East Asia in recent times is due mainly to?,lower production costs in South East Asia,high land values in Europe,declining labour productivity in Europe,availability of cheap raw materials in South East Asia,A
Geography,1992,The major wheat producing regions of the world are characteristically?,undulating lowlands with clayey soils,marginal lands with sandy soils,extensive continental plains with loamy soils,coastal plains with alluvial soiols,C
Geography,1992,The industrial development of the Black Sea region of Ukraine is based mainly on?,coal and iron ore,crude oil and iron ore,cotton and coal,wool and crude oil,A
Geography,1992,The predominant type of agriculture in the eastern part the source of the raw material is?,plantation agriculture,mixed farming,citrus cultivation,Cattle ranching,B
Geography,1992,Which of the following industries is best located near the source of raw materials?,Car manufacturing,Petroleum refinery,Sugar refinery,Clothmaking,B
Geography,1992,The use of the Nile for transportation purpose is limited mainly by?,the presence of dams and cataracts,seasonal flooding,heavy siltation,low velocity of flow,B
Geography,1992,The greatest hydro-electric power potential in Nigeria is found in the?,Sokoto- Rima Basin,Cross River Basin,Niger-Benue trough,Eungu.scarplands,C
Geography,1992,The most common traditional method of restoring soil fertility in Nigeria is?,increased infant mortality due to neglection,the declining in food imports,the growth of slums,the deterioration of city transport systems,C
Geography,1992,One adverse consequence of rapid urbanization in Nigeria is?,increased infant mortality due to neglect,the decline in food imports,the growth of slums,the deterioration of city transport sytems,C
Geography,1992,Which of the the following towns is on the railway between Lagos and Kaduna?,Kontagora,Minna,Zaria,Kafanchan,B
Geography,1992,The most urbanized part of Nigeria is the?,south-east,Middle-belt,north-east,south-west,D
Geography,1992,A typical example of an inland drainage basin in Africa is the?,Congo Basin,Lake Victoria Basin,Lake Chad Basin,Orange Basin,C
Geography,1992,The location of most of the light manufacturing industries in Africa is determined primarily by the location of?,raw materials,markets,railways terminals,labour,B
Geography,1992,The major pastoral ethnic groups in Africa include the?,"Fulani, asante and Wollof","Asante, Fulani and Zulu","Masai, Fulani and Tuareg","Fulani, Masai and Kikuyu",C
Geography,1992,Which of the following group of countries constitutes the Chad Basin Commission?,"Benin, Niger, Nigeria and Chad","Niger, Nigeria, Chad and Sudan","Cameroon, Libya, Chad and Sudan","Cameroon, Chad, Niger and Nigeria",C
Geography,1992,"An inter-zonal soil commonly found in arid regions are characterized by strong salt solutions that form white crusts on the surface, is a?",Solonchak,Solonetz,Chernozem,Podzol,D
Geography,1992,In which of the following countries is cotton growing under irrigation the mainstay of the agricultural economy?,Mali,Zimbabwe,Sudan,Uganda,C
Geography,1992,"[Figure required]
The temperature in the month of December at station Y is",4 o C,-4 o C,24 o C,32 o C,B
Geography,1992,"[Figure required]
Monthly temperatures are above the average in",8months,7months,6months,5months,D
Geography,1992,"[Figure required]
Aperi is typically a",Confluence town,Dry point,Wet point settlement,Foothill settlement,C
Geography,1992,"[Figure required]
The feature marked J is a",Valley,Pass,Col,Shoulder,C
Geography,1992,"[Figure required]
The average gradient the slope marked L-K is approximately",1:15,1:17,1:19,1:21,C
Geography,1992,"[Figure required]
The roads in the area shown on the map appear to have been constructed mainly to avoid",Footslopes,Steep gradients,Upland areas,Building bridges,B
Geography,1992,"[Figure required]
Which type of land management is best suited for the area around Aperi?",Terracing,Contour Ploughing,Afforestation,Rreclamation,D
Geography,1994,Which of the following scales would allow the greatest amount of detail on a map?,1: 20,1: 50,1: 500,"1: 2,500",A
Geography,1994,The captain of a ship in the mid sea observed that it was local noon as he was listening to 08.00 hrs BBC world news. On which longitude was his ship?,60°E,60°W,120°E,120°W,A
Geography,1994,"A map drawn to a scale of 1: 180,000 is reduced three times. What is the scale of the new map?","1: 60,000","1: 90,000","1: 360,000","1: 540,000",D
Geography,1994,Sedimentary rocks are easily recognized in the field because they?,form round hills,are faulted,form vertical columns,occur in layers,D
Geography,1994,At which of the following latitudes would you expect more than 24 hours of continuous sunshine or darkness at a particular time of the year?,40°N and S,50°N and S,60°N and S,70°N and S,D
Geography,1994,Which of the following sets of rocks is organically formed?,"Rock salt, breccia and conglometerate","Clay, mudstone and sandstone","peat, chalk and limestone","Girt, coal and shale",C
