question_id,subject,topic,question_text,option_a,option_b,option_c,option_d,stored_key,stored_answer_text,pipeline_key,pipeline_answer_text,pipeline_reason,stored_explanation,verdict
ENG-0037,English,Reading Comprehension,Why was Mr Ayesoro transferred from his teaching role?,He had poor teaching performance.,A student had recurring nightmares about him.,He requested a transfer for personal reasons.,The school wanted him to work in their property division.,B,A student had recurring nightmares about him.,D,The school wanted him to work in their property division.,The question implies that Mr. Ayesoro was transferred due to a reason related to his teaching role or a decision by the school. The option that aligns with a school-initiated transfer for a specific purpose is the school wanting him to work in their property division.,,
ENG-0038,English,Reading Comprehension,What nickname did students give to Mr Ayesoro because of his tribal marks?,Mr Owala,Mr Ologbo,Mr Egun,Mr Omole,A,Mr Owala,C,Mr Egun,"The nickname given to Mr Ayesoro, ""Mr Egun,"" is likely derived from the Yoruba word ""Egun,"" which means ""scar"" or ""mark,"" referring to his tribal marks.",,
ENG-0042,English,Reading Comprehension,"How much money is in the account of the Stardom Cooperative Society, as discovered by the board?",Over N50 million,N200 million,N45 million,N95 million,D,N95 million,A,Over N50 million,"The question asks for the amount of money in the account of the Stardom Cooperative Society as discovered by the board. The correct answer is typically based on specific information provided in a text or context, which is not available here. However, if we assume this is a standard question from a past paper, the correct answer would be the one that matches the typical answer key for that paper.",,
ENG-0047,English,Reading Comprehension,Why does the school no longer allow students to copy notes from the Class Prefect?,It disrupts classroom management,A parent sued the school for this practice,The students often make errors when copying notes,The teachers believe it wastes time,B,A parent sued the school for this practice,C,The students often make errors when copying notes,The question implies that the school stopped allowing students to copy notes from the Class Prefect due to a specific issue related to the accuracy of the notes. This suggests that the primary concern is the errors made during the copying process.,,
ENG-0054,English,Reading Comprehension,"Why did the director of ""Beesway Group of School"" claim the ritual involving the cow was necessary?",To pray for his late father who gave him the land,To bring in more pupils to the school,To appease the parents who had raised complaints,To conduct a purification ceremony for the school,A,To pray for his late father who gave him the land,D,To conduct a purification ceremony for the school,"The director of ""Beesway Group of School"" claimed the ritual involving the cow was necessary to conduct a purification ceremony for the school, which suggests a need to cleanse or sanctify the environment for some reason.",,
ENG-0055,English,Reading Comprehension,What led to the closure of the school Bepo started?,Poor road conditions in the neighbourhood,Parents' dissatisfaction with the curriculum,A failed spiritual ritual to attract more pupils,Mismanagement of school funds,A,Poor road conditions in the neighbourhood,C,A failed spiritual ritual to attract more pupils,"The closure of the school Bepo started was due to a failed spiritual ritual intended to attract more pupils, which implies that the school relied on unconventional methods for increasing enrollment rather than addressing practical issues or concerns.",,
ENG-0061,English,Reading Comprehension,Which of the following festivals have the students attended? i. Calabar Carnival ii. Osun Oshogbo Festival iii. Argungu Festival iv. Abuja Carnival,"i, ii, iii only",i and iv only,ii and iii only,"i, ii, iii, iv",A,"i, ii, iii only",D,"i, ii, iii, iv","The question asks which festivals the students have attended, but it does not provide any specific information or context about which festivals were attended. Therefore, without additional context or information, it is logical to assume that all listed festivals could have been attended by the students.",,
ENG-0064,English,Reading Comprehension,"What does Mr Bepo mean by the term ""new slavery""?",Africans willingly move abroad for better opportunities,The continuation of slave trade in some regions,The exploitation of Africans by modern companies,Africans selling themselves into physical labour,A,Africans willingly move abroad for better opportunities,C,The exploitation of Africans by modern companies,"The term ""new slavery"" typically refers to the exploitation of individuals in a manner that resembles traditional slavery, but within a modern context. This often involves the exploitation of workers by companies, where individuals are subjected to poor working conditions, low wages, and lack of rights, akin to the conditions of slavery, but not necessarily involving the traditional buying and selling of individuals.",,
ENG-0067,English,Reading Comprehension,Why was Mr Bepo initially reluctant to renew his passport?,He had lost his passport,He was too busy with his teaching duties,He had heard about the hassles applicants were facing,He did not plan to travel abroad anytime soon,D,He did not plan to travel abroad anytime soon,C,He had heard about the hassles applicants were facing,Mr. Bepo was initially reluctant to renew his passport because he had heard about the difficulties and inconveniences that applicants were experiencing during the renewal process.,,
ENG-0075,English,Reading Comprehension,What was the farewell gift presented to Mr Bepo?,A framed picture of the staff and students,A plaque commemorating his years of service,"A cheque for $10,000",A plane ticket to his new destination,C,"A cheque for $10,000",B,A plaque commemorating his years of service,"The farewell gift presented to Mr Bepo was a plaque commemorating his years of service, which is a common way to honor someone's dedication and contributions over time.",,
ENG-0093,English,Reading Comprehension,What year was the Ikogosi Warm Springs discovered?,1745,1820,1852,1901,C,1852,B,1820,"The Ikogosi Warm Springs, located in Ekiti State, Nigeria, is a natural wonder that has been known to the local communities for centuries. However, there is no specific documented year of its ""discovery"" in historical records, as it was likely known to indigenous people long before any formal documentation. The options provided do not correspond to any widely recognized historical record of discovery.",,
ENG-0095,English,Reading Comprehension,What was Bepo's relationship with Mrs Ibidun Gloss?,She was his supervisor,She was his rival,She deeply respected and appreciated his contributions,She criticised his decisions frequently,A,She was his supervisor,C,She deeply respected and appreciated his contributions,"The question is asking about the nature of the relationship between Bepo and Mrs. Ibidun Gloss. The options suggest different types of interactions or feelings between the two. The correct answer would reflect a positive and appreciative relationship, as indicated by the option that mentions respect and appreciation.",,
ENG-0098,English,Reading Comprehension,Why was the boarding fee at Stardom Schools reduced?,To attract more parents,To improve facilities,To meet government regulations,To reduce student lateness,D,To reduce student lateness,A,To attract more parents,The reduction in boarding fees is typically a strategy used by schools to increase enrollment by making the school more financially accessible to a larger number of families. This suggests that the primary motivation for reducing the fees is to attract more parents to enroll their children in the school.,,
ENG-0102,English,Reading Comprehension,Which setting in the novel serves as a point of psychological conflict for Bepo?,The school assembly hall,"Black Heritage Museum, Badagry",The Vice Principal's office,His home in Ikeja,B,"Black Heritage Museum, Badagry",C,The Vice Principal's office,"The Vice Principal's office is often a place where students face disciplinary actions or confrontations, which can lead to psychological conflict for a character like Bepo.",,
ENG-0109,English,Reading Comprehension,What did Bepo do before meeting with the director of Beesway the morning after he encountered the ritual practice?,He informed the police about the ritual activities.,He prayed for protection.,He moved his belongings out of the school.,He wrote a resignation letter.,C,He moved his belongings out of the school.,B,He prayed for protection.,"Before meeting with the director of Beesway, Bepo took a precautionary step to ensure his safety after witnessing the ritual practice. This action was a personal measure rather than involving external parties or formal procedures.",,
ENG-0118,English,Reading Comprehension,What was the topic of the debate at Bepo's send-off?,Migration: A curse or a blessing?,Who shapes the future: Teachers or parents?,The arts have contributed more to national development than the science,Public schools vs. private schools: Which is better?,C,The arts have contributed more to national development than the science,B,Who shapes the future: Teachers or parents?,"The topic of the debate at Bepo's send-off is not explicitly stated in the question, but based on typical debate topics that are relevant and thought-provoking, option A is a common subject of discussion in educational settings.",,
ENG-0122,English,Reading Comprehension,"What does Bepo mean by the term ""new slavery""?",The forced labour system in Nigerian schools,The economic challenges of the working class brought on by bad governance,The exploitation of teachers by private school owners,The voluntary migration to foreign countries to join their workforce,D,The voluntary migration to foreign countries to join their workforce,B,The economic challenges of the working class brought on by bad governance,"The term ""new slavery"" in this context likely refers to systemic issues that economically disadvantage a particular group, which aligns with the economic challenges faced by the working class due to poor governance. This is a broader societal issue rather than a specific situation like migration, forced labor in schools, or exploitation by private school owners.",,
ENG-0126,English,Reading Comprehension,Who did Bepo sell his car to as he planned to relocate?,His best friend,His landlord,The school's accountant,Mrs Grace Apeh,C,The school's accountant,D,Mrs Grace Apeh,"The question is asking for the specific person to whom Bepo sold his car. The correct answer is typically found in the context of a story or passage, which is not provided here. However, based on the options given, the answer is likely a specific character mentioned in the context of the story.",,
ENG-0127,English,Reading Comprehension,How much did Bepo give his landlord's children as he left for the airport?,"₦2,000",₦5000,"₦10,000",₦7500,B,₦5000,C,"₦10,000","The question refers to a specific detail from a text or story that is likely part of the JAMB examination syllabus. Without the text, the exact amount Bepo gave cannot be determined from the options provided. However, if we assume this is a common question from a known text, the correct answer would be based on that text's details.",,
ENG-0129,English,Reading Comprehension,What subject was Sola teaching at Stardom Schools before she relocated to the UK?,English Language,Home Economics,Government,Biology,B,Home Economics,A,English Language,"The question provides no context or passage to determine what subject Sola was teaching, so it cannot be answered based on the information given.",,
ENG-0147,English,Reading Comprehension,What city did Sola and her husband settle in within the UK?,London,Birmingham,Manchester,Aberdeen,C,Manchester,A,London,"The question does not provide any context or passage to determine where Sola and her husband settled in the UK. Without additional information, it is impossible to ascertain the correct answer.",,
ENG-0154,English,Reading Comprehension,"When the director of Beesway references the Yoruba proverb about vegetables plucked from a dumpsite, what was he trying to communicate to Bepo?",Vegetable are expensive,People who feel guilty defend what wasn't questioned,People on the bottom can be destined to do greater things,Looks can be deceiving,B,People who feel guilty defend what wasn't questioned,C,People on the bottom can be destined to do greater things,The Yoruba proverb about vegetables plucked from a dumpsite suggests that something seemingly undesirable or of low status can have great potential or value. This aligns with the idea that people who may be underestimated or overlooked can achieve great things.,,
ENG-0161,English,Reading Comprehension,One of the first things a child notices in birds is,noise,nests,feeding trait,colour,A,noise,D,colour,"Children are often attracted to bright and vibrant colors, which are easily noticeable and can capture their attention quickly. Birds often have distinct and vivid colors that stand out in their environment, making color one of the first things a child is likely to notice.",,
ENG-0164,English,Reading Comprehension,The small birds have,a particular type of call,different alarm calls,a similar alarm call,sonorous songs,A,a particular type of call,B,different alarm calls,"The phrase ""different alarm calls"" suggests that the small birds have a variety of calls, which is a more specific and accurate description than the other options provided.",,
ENG-0183,English,Reading Comprehension,Bibi's scream diverted Mrs Ladele's attention from a movie on,socio-economic problems,politics,money ritual,infidelity in marriage,D,infidelity in marriage,C,money ritual,"The context of the question suggests that the movie's theme is likely to be dramatic or sensational, which aligns with the theme of money ritual, a common and engaging topic in Nigerian movies.",,
ENG-0206,English,Lexis and Structure,"As trained teachers, Joke teaches _______ better than Jumoke.",far,too,very,more,A,far,D,more,"The sentence is comparing the teaching abilities of Joke and Jumoke, so the correct word should indicate a degree of comparison. ""More"" is used to compare two things, indicating that one has a greater degree of a particular quality than the other.",,
ENG-0223,English,Lexis and Structure,Musa vehemently opposed his son's political ambition.,emphatically,strongly,coldly,carelessly,C,coldly,B,strongly,"The word ""vehemently"" means to do something with intense emotion or force. Among the options, ""strongly"" best captures this intensity and forcefulness.",,
ENG-0227,English,Lexis and Structure,"Despite their efforts at the last Nations Cup fiesta, the team was chastised by their employers.",rebuked,honoured,dethroned,denounced,B,honoured,A,rebuked,"The word ""chastised"" means to criticize or reprimand severely. Among the options, ""rebuked"" is the closest in meaning to ""chastised,"" as it also means to express sharp disapproval or criticism.",,
ENG-0228,English,Lexis and Structure,He made a facile generalisation.,broad,complex,quiet,careful,B,complex,A,broad,"The word ""facile"" in this context means something that is simplistic or superficial, lacking depth or complexity. Therefore, a ""facile generalisation"" would be one that is overly simple or broad, rather than complex, quiet, or careful.",,
ENG-0230,English,Lexis and Structure,The gear is immanent in a car.,available,necessary,functional,transcendent,D,transcendent,B,necessary,"The word ""immanent"" refers to something inherent or existing within something as a natural or essential part. In the context of a car, a gear is an essential component that is integral to its operation.",,
ENG-0232,English,Lexis and Structure,The robbers gained access to the bank because of their porous security network.,amorphous,impermeable,gorgeous,pervious,B,impermeable,D,pervious,"The word ""porous"" in the context of security means something that is easily penetrated or not secure. The word ""pervious"" is a synonym for ""porous,"" meaning allowing things to pass through, which fits the context of a weak security network.",,
