question_id,subject,question_text,option_a,option_b,option_c,option_d,correct_option
GEO-0410,Geography,"One basic mineral that is common to Sokoto, Ewekoro, Calabar and Nkalagu is",coal,marble,limestone,gypsum,C
GOV-0627,Government,"While pressure groups aim at influencing government decisions, the primary aim of political parties is to",promote the welfare of their members,execute particular programmes,influence legislation in order to benefit their members,control political power,D
GOV-0472,Government,The second ballot is based on the principle that a successful candidate must obtain,absolute majority,simple majority,forty percent of the votes,fifty percent of the votes,A
GOV-0631,Government,A set of internalized norms which guides political action is called,power,value,law,symbol,B
GOV-0520,Government,Which of the following led to the introduction of indirect rule in Nigeria by the British?,Need for adequate financial resources,Desire for rapid development,Speedy transition to independence,Manpower and personnel shortages,D
GOV-0633,Government,Which of the following is NOT associated with local government elections?,Constituency,Ballot box,Electoral officer,Ward,A
GOV-0495,Government,A system of government in which the central government is supreme over other levels is,totalitarian,confederal,federal,unitary,D
GOV-0636,Government,The highest court in Nigeria before 1963 was the,supreme court,high court,judicial committees of the privy council,court of appeal,C
GOV-0483,Government,"In the Oyo empire, the Alaafin was",an absolute monarch,popularly elected,a constitutional monarch,worshipped as a deity,A
GOV-0481,Government,An agency of the United Nations which specializes in the welfare of children is the,WHO,UNESCO,UNICEF,UNDP,C
GOV-0640,Government,The simple plurality electoral system is often criticized because,the ruling party may lose the election,the winner may not poll an absolute majority,it works against all opposition parties,it is easy to rig,B
GOV-0488,Government,A major feature of the system of government in the Sokoto Caliphate was that,it was based on customs and traditions,it was theocratic,it was democratic,power was effectively decentralized,B
GOV-0486,Government,"Based on its objectives, the Organization of African Unity can primarily be classified as",a social organization,a political organization,a cultural organization,an economic organization,B
GOV-0375,Government,Citizenship refers to the,indigenous member of a state,social status of a person in a state,highest position in a state,legal status of a member of a state,D
GOV-0373,Government,The act of removing an elected official by the electorate is referred to as,impeachment,consensus,plebiscite,recall,D
GOV-0340,Government,The main attributes of a state are,"Population, territory, government and sovereignty","the press, the legislature, the executive and the judiciary","federal, state and local governments","government, the police and the armed forces",A
GOV-0343,Government,How many states were created in Nigeria in 1967?,21,19,12,4,C
GOV-0485,Government,"In 1991, the African Economic Community Treaty was signed in",Addis Ababa,Abuja,Lome,Tripoli,B
GOV-0358,Government,Nigeria's quest for a leadership role in Africa hinges principally on her,military might,economic strength,size and population,generosity,C
LIT-0088,Literature,"This question is based on General Literature Principles and Literary Appreciation 'A slight breeze murmured in the air. Grasses swayed as if in resentment. Over in the horizon, just beneath the spectrum of the ascending sun, horizontal brands of red cloud hung menacingly above the tips of the trees and morning air smelled of burnt clay. The Victims by Isidore Okpewho Effect in the above passage is achieved through the use of",subdued tone,visual images,detailed description,adequate punctuation,B
LIT-0626,Literature,This question is based on General Literary Principles. Persona refers to the,central character in a play,voice of the character,the image a character presents,the personality of a character,B
LIT-0627,Literature,This question is based on General Literary Principles. The three main unities in drama are those of,"action, time and place","time, space and action","place, time and space","space, action and time",A
LIT-0628,Literature,This question is based on General Literary Principles. Poems that are not written in meter or regular line length are called,short verses,rhythmic verses,free verses,irregular verses,C
LIT-0630,Literature,"This question is based on General Literary Principles. When two statements or comparisons are apparently contradictory, we have an example of",irony,paradox,contrast,parallelism,B
LIT-0634,Literature,"This question is based on General Literary Principles. In drama, a conspicuous weakness in the character of the protagonist contributing to his downfall is referred to as",an anagnorisis,a tragic flaw,a catharsis,a catastrophe,B
LIT-0644,Literature,"This question is based on William Shakespeare's Twelfth Night. The significance of the sub-plot dealing with Feste, Toby and Maria is the expression of life's",fragility,pleasure,comedy,romance,C
LIT-0640,Literature,This question is based on William Shakespeare's Twelfth Night. She bore a mind that envy could not but call fair The statement above characterizes.,Maria,Olivia,Roderigo,Viola,B
LIT-0637,Literature,This question is based on Femi Osofisan's Morountodun. Titubi joins the farmers' revolt,to ensure its success,as a spy for the establishment,in pursuit of Marshal,to defy the police,B
ACC-0614,Accounting,The excess of income over expenditure is usually transferred to the?,accumulated fund,profit and loss account,current assets in the balance sheet,current liabilities in the balance sheet,A
ACC-0302,Accounting,An entry in a subsidiary book which does not form part of the double entry system is a?,contra entry,journal entry,single entry,memorandum entry,D
ACC-0636,Accounting,A source document is used for verifying the?,amount due to creditors,actual cost of an asset,selling price of goods,amount due from debtors,B
ACC-0583,Accounting,The rule of accounting equation requires that account payable should be placed under?,liabilities,equities,assets,capital,A
ACC-0470,Accounting,Profit or loss in a partnership is usually arrived at after deducting from gross profit all expenses including?,partners' salaries,interest on capital,partners' drawings,interest on loans,A
ACC-0619,Accounting,The accounting method that reports incomes when earned and expenses when incurred is called?,cash accounting,commitment accounting,fund accounting,accrual accounting,D
ACC-0608,Accounting,Which of the following accounting conventions suggests that accountants should use a method of valuation that understates rather than over-states results?,Conservatism,Historical,Monetary,Cost,A
ACC-0042,Accounting,"In partnership dissolution, an asset taken over by a partner is debited to?",partners capital account and credited to realization account,Partners capital account and credited to asset account,asset account and credited to realization account,realization account and credited to capital account,A
BIO-0694,Biology,"If a DNA strand has a base sequence TCA, its complementary strand must be",ATG,TAG,GAT,AGT,D
BIO-0666,Biology,When bacteria swim from cold to warm regions this is known as,negative chemotaxis,positive thermotaxis,positive phototaxis,negative phototaxis,B
BIO-0667,Biology,The only caste in the termite colony whose members can feed themselves are the,reproductives,workers,nymphs,soldiers,B
BIO-0669,Biology,Which of the following vertebrates has the most simple structured heart?,reptile,fish,mammal,amphibian,B
COM-0463,Commerce,Land as a factor of production does not vary in?,quantity,nature,quality,cost,A
COM-0636,Commerce,One major characteristic of credit unions and thrift societies is that?,the legal processes involved in their formation are rigid,membership is compulsory to people in the same line of business,the contribution of every member depends on the member's ability,a minimum of ten people in the same line of business can form the union,D
COM-0492,Commerce,The maximum number of shareholders in a public liability company is?,twenty,fifty,one hundred,unlimited,D
COM-0420,Commerce,A bill of exchange already accepted can be discounted by the holder in?,the central bank,at least two banks,his bank,any bank,C
COM-0551,Commerce,A group of companies is a collection of?,subsidiaries and their holding company,firms,associates and their holding company,industries,A
COM-0638,Commerce,The management function that makes the difference in intensity of behavior is?,coordinating,controlling,motivation,planning,C
COM-0552,Commerce,Communication process involves the transmission of a message over a selected channel to the?,receiver,audience,sender,encoder,A
COM-0226,Commerce,The assembling of products into usable forms is known as?,construction,manufacturing,formation,creation,B
COM-0661,Commerce,The strategy adopted by a firm that ceases to operate at one or more locations because of inactivity is?,rejuvenation,focus,diversification,consolidation,D
COM-0673,Commerce,The excess of the assets over the liabilities of a business is called?,working capital,net worth,capital employed,initial capital,B
COM-0666,Commerce,The conversion of raw materials into finished products creates?,form utility,marginal utility,place utility,time utility,A
COM-0676,Commerce,A distinctive advantage of GSM is its?,mobility,cost,stability,coverage,A
COM-0353,Commerce,"In the permanent storage device, DASD means?",Data Access Storage Device,Data Access Systems Device,Direct Access Systems Device,Direct Access Storage Device,D
COM-0643,Commerce,The scope of economic activities can be enlarged by,transportation and trading,business and its promotion,trading and aids to trade,insurance and banking,C
COM-0677,Commerce,An activity that involves derivation of raw materials from land and sea is?,construction,farming,agriculture,extraction,D
COM-0790,Commerce,An example of a cartel is?,OPEC,ECOWAS,AU,EU,A
COM-0678,Commerce,A person who buys new issues with a view of reselling at a higher price in the near future is referred to as a?,bull,bear,dealer,stag,D
COM-0471,Commerce,One of the major problems of a sole proprietor is sourcing for?,raw materials,labour,machineries,funds,D
ECO-0522,Economics,Utility is the satisfaction derived from?,demand,production,distribution,consumption,D
ECO-0485,Economics,The coefficient of the price elasticity of supply is always,positive,negative,constant,zero,A
ECO-0461,Economics,"If the standard deviation of a given data is 8.2, find its variance",4.1,67.2,82.0,91.8,B
ECO-0472,Economics,The privatization exercise in Nigeria is a move towards a,mixed economy,subsistence economy,market economy,command economy,C
ENG-0773,English,Choose the option that has a different stress pattern from the others.,ability,quadruplicate,registration,revivalist,C
GEO-0471,Geography,The sex ratio of any population may be affected by?,mortality,morbidity,migration,fertility,C
GEO-0476,Geography,The merging together of a number of urban settlements will produce a?,conurbation,nucleated settlement,linear settlement,suburb,A
GEO-0461,Geography,A country well known for the production of copper in Africa is?,Ghana,Republic of Benin,Zambia,Egypt,C
GEO-0459,Geography,The development of a climax vegetation in the savannah belt of Nigeria is disturbed mainly by?,lumbering,mining,bush burning,animal grazing,C
GEO-0460,Geography,The most densely populated city which is also the capital of a country in Africa is?,Dakar,Cape Town,Abuja,Cairo,D
GEO-0465,Geography,A good example of cuesta landscape in Nigeria is?,Biu Plateau,Udi Hills,Yoruba Hills,North Central Highlands,B
GEO-0513,Geography,"In river transport, the problem of irregular levels of water can be overcome by?",changing the direction of flow,clearing the river of water weeds,controlling the current,building locks and canals,D
GEO-0516,Geography,"What is the birth rate of a country with a total population of 150,000,000 and registered births of 3,000,000 in a given year?",1%,2%,3%,4%,B
GEO-0517,Geography,The most important factor that can aid the decentralization of industries in a country is the availability of?,efficient inland transport,alternative energy sources,mobile capital,local raw materials,A
GEO-0525,Geography,"The best technique to prevent soil erosion in a humid, gently sloping area is to adopt?",contour ridging,wind breakers,intercropping,terrace cultivation,A
GEO-0526,Geography,An example of a rock formed by wood subjected to pressure and heat is?,sandstone,biotite,granite,lignite,D
GEO-0529,Geography,The survival of an organism in a natural ecosystem depends largely on?,its importance to other organisms,environmental adjustments to suit it,its adaptation to prevailing conditions,its usefulness to human development,C
GEO-0271,Geography,Secondary economic activities are those that involve the?,packaging of finished goods,distribution of raw materials,distribution of finished goods,processing of raw materials,D
GEO-0540,Geography,Tin-mining activities in Nigeria are the main causes of environmental degradation on the?,Western Highlands,Eastern Highlands,Jos Plateau,Obudu Plateau,C
GEO-0479,Geography,The process by which organic matter is decomposed and synthesized to form part of the soil is known as?,humification,mineralization,laterization,nitrification,A
GEO-0729,Geography,The difference in time between two longitudes is approximately?,15 hours,40 minutes,4 hours,4 minutes,D
GEO-0486,Geography,Soil texture is determined primarily by?,profile horizons,major components,particle sizes,nutrient status,C
GEO-0491,Geography,A weather element controlled mainly by latitude is?,temperature,humidity,rainfall,cloud cover,A
GEO-0488,Geography,The speed and capacity of a train are influenced by the?,length of the railway line,the edge of the railway line,width of the railway gauge,depth of the railway line,C
GEO-0421,Geography,A type of landform that is associated with large scale orogeny is a?,block mountain,volcanic mountain,fold mountain,residual mountain,C
GEO-0712,Geography,The largest ocean in the world is the?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
GOV-0370,Government,A constitution that requires a plebiscite or a referendum to be amended is,rigid,unwritten,flexible,written,A
GOV-0675,Government,One argument against a multi-party system is the,encouragement of opposition and instability,banning of interest groups,inability to attract foreign assistance,high cost of conducting elections.,A
GOV-0644,Government,"The idea of making the civil service permanent, neutral and anonymous is to",enhance efficiency in administration,ensure loyalty and support,prevent opposition to government,make civil servants a functional elite.,A
GOV-0674,Government,Some pre-colonial Nigerian societies are described as stateless because,they had no formal governmental institutions,they had no definite political boundaries,their population was too small,they were not independent.,A
GOV-0672,Government,"After 1945, the demand of African nationalists changed from reform to independence because",colonial rule became less oppressive,colonial rule was in disarray,the second world war boosted their morale,the second world war enhanced colonial rule.,C
GOV-0671,Government,"When Nigeria achieved independence in 1960, the head of state was the",president,prime minister,Governor-General,Queen of England.,D
GOV-0363,Government,The Independent National Electoral Commission has the power to prepare and maintain the register of,Political parties,Constituencies,Voters,Electoral candidates.,C
GOV-0666,Government,The Murtala/Obasanjo regime in Nigeria increased the number of states from,4 to 12,12 to 19,19 to 20,30 to 36,B
GOV-0660,Government,The absence of the rule of law in government will bring about,human rights abuse,treasonable offences,corrupt practices,political apathy,A
GOV-0656,Government,"Under the 1999 Constitution of Nigeria, the power to create local governments is vested in the",state assembly,office of the deputy governor,presidency,national assembly,A
GOV-0655,Government,The two military coups that toppled civilian regimes in Nigeria were those of,January 1966 and December 1983,July 1966 and August 1985,January 1966 and July 1975,February 1976 and December 1983,A
GOV-0654,Government,The main function of the Code of Conduct Bureau is to,ensure accountability in government business,give the judiciary more powers to discipline erring judges,protect public officers from the press,give the police more powers to make arrests,A
GOV-0509,Government,Which of the following is a founding member of OPEC?,Nigeria,Indonesia,Venezuela,Algeria,C
GOV-0151,Government,An attribute that Nigeria shares with most non-aligned countries is,her large population,the state of her economy,her heterogenous population,her large size,B
GOV-0652,Government,Government by the wealthy is known as,plutocracy,oligarchy,aristocracy,democracy,A
GOV-0685,Government,A common feature of government is,the separation of powers,the making of public policy,the independence of the judiciary,a written constitution,B
GOV-0646,Government,A meeting of the legislature is usually brought to an end with,a dissolution,an adjournment,suspension,a prorogation,B
GOV-0473,Government,The tenure of the President of the UN Security Council is,two years,one month,six months,one year,B
GOV-0682,Government,The Native Authority system was most effective and successful in,Eastern Nigeria,Northern Nigeria,Mid-Western Nigeria,Western Nigeria,B
GOV-0681,Government,The highest grade in the civil service is known as the,administrative cadre,executive cadre,clerical cadre,technical cadre,A
GOV-0647,Government,The economic basis of feudalism is,trade,capital,agriculture,slavery,C
GOV-0648,Government,NEPAD was adopted during the OAU summit held in,Tunis,Lusaka,Cairo,Abuja,B
LIT-0720,Literature,"'Jose Palacios, his oldest servant, found him floating naked with his eyes open in the purifying waters of his bath and thought he had drowned. He knew this was one of the many ways the General meditated, but the ecstasy in which he lay drifting seemed that of a man no longer of this world.' Gabriel Garcia Marquez, The General in His Labyrinth. The master in the passage above is obviously in a state of",labyrinth,drowning,forgetfulness,trance,D
LIT-0648,Literature,This question is based on Abubakar Gimba's Witnesses to Tears The novel is largely set in,Futa Toro,Sabonville city,Alligator city,Nuclear city,B
LIT-0647,Literature,This question is based on Abubakar Gimba's Witnesses to Tears The witnesses to the tears in the novel are,Saahir and Lahab,Lahab and Hussaina,Lahab and Sagiir,Al-Amin and Hussaina,D
