question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
BIO-J00742,JAMB,Biology,,,medium,1993,,Which of the following is the correct order of the developmental stages?,,1->2->3->4->5,5->1->3->2->4,2->1->3->4->5,5->3->2->1->4,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00743,JAMB,Biology,,,medium,1993,,Stage 3 breathes,,with the lungs,with the external gills,with the internal gills,through the skin,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00744,JAMB,Biology,,,medium,1993,,Blood is pumped into the right ventricle by the contraction of the auricle wall through,,1,3,5,6,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00745,JAMB,Biology,,,medium,1993,,"After circulation in the lungs, the blood returns to the left auricle through",,1,4,5,6,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00746,JAMB,Biology,,,medium,1994,,Which of the labelled parts allows for efficient absorption of water and minerals?,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00747,JAMB,Biology,,,medium,1994,,starch is usually stored in the part labelled,,I,II,III,Iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00748,JAMB,Biology,,,medium,1994,,The most appropriate title for the set up is,,quantitative measurement of respiration in plants and animals,measurement of respiratory rates in living organisms,comparison between photosynthesis and respiration,comparison of respiratory rates in plants and animals,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00749,JAMB,Biology,,,medium,1994,,The part labelled j is called,,porosimeter,potometer,manometer,auxanometer,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00750,JAMB,Biology,,,medium,1994,,The vertebra illustrated is,,lumbar,thoracic,caudal,cervical,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00751,JAMB,Biology,,,medium,1994,,THe neural arch is labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00752,JAMB,Biology,,,medium,1994,,The graph above shows the relationship between the body and atmospheric temperature for dog and lizard. What is the most appropriate deduction that could be made from the graph?,,Lizards are more likely to survive hazards than dogs,Both animals maintain a constant body temperature,The dog's body temperature is independent of the external temperature,The lizard's body temperature varies with that of the dog,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00753,JAMB,Biology,,,medium,1994,,The parts used for feeding is labelled,,I,J,K,L,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00754,JAMB,Biology,,,medium,1994,,The mouth part of the insect is adapted for,,biting and chewing,sucking and chewing,biting and sucking,piercing and sucking,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00755,JAMB,Biology,,,medium,1995,,Protein-like bodies are borne on the part labelled,,II,III,IV,V,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00756,JAMB,Biology,,,medium,1995,,The sexual reproductive function is performed by the part labelled,,I,II,IV,V,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00757,JAMB,Biology,,,medium,1995,,The type of placentaion shown is,,axial,marginal,parietal,central,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00758,JAMB,Biology,,,medium,1995,,An example of a plant having the placentation shown is,,allamander,hibiscus,water lily,pride of Barbados,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00759,JAMB,Biology,,,medium,1995,,The diagram represents,,sensory neurone,relay neurone,afferent neurone,motor neurone,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00760,JAMB,Biology,,,medium,1995,,The part labelled X is the,,axon,cell body,terminal dendrites,synapse,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00761,JAMB,Biology,,,medium,1997,,The structure labelled I is the,,Golgi body,mitochondrion,endoplasmic reticulum,vacuole,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00762,JAMB,Biology,,,medium,1997,,Protein is synthesized in the part labelled,,I,II,III,Iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00763,JAMB,Biology,,,medium,1997,,The part that is similar to the bone is labelled,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00764,JAMB,Biology,,,medium,1997,,The part labelled I and II constitute the,,Crown,neck,root,gum,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00765,JAMB,Biology,,,medium,1997,,The function of the part labelled V is for the passage of,,pollen tube and pollen nucleus,"air, water and pollen nucleus","air, antipodal cells and ovum",synergids and egg cell,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00766,JAMB,Biology,,,medium,1997,,The female gamete is represented by,,I,II,III,Iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00767,JAMB,Biology,,,medium,1997,,The type of vegetative reproduction illustrated in the diagram above is,,grafting,adventitious bud,sucker,aerial layering,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00768,JAMB,Biology,,,medium,1997,,coconut and oil palm fruits can be grouped as,,berry,legume,capsule,drupe,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00769,JAMB,Biology,,,medium,1997,,Which organism in the food-web illustrated above is an omnivore?,,Weevils,Rat,Hawk,Prayer mantis,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00770,JAMB,Biology,,,medium,1998,,The structure labelled I is formed as a result of the fusion of,,two pairs of nuclei,several pairs of nuclei,a pair of nuclei,two pairs of nucleoli,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00771,JAMB,Biology,,,medium,1998,,The special name of the part labelled II is,,gametangium,hypha,suspensor,zygospore,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00772,JAMB,Biology,,,medium,1998,,The ovary represented is,,half-superior,inferior,superior,half-inferior,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00773,JAMB,Biology,,,medium,1998,,The corolla is partly represented by,,I,II,III,Iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00774,JAMB,Biology,,,medium,1998,,The unrestricted pattern is represented by,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00775,JAMB,Biology,,,medium,1998,,The line that represents efficient recycling combined with stringent conservation is,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00776,JAMB,Biology,,,medium,1998,,The bird's bill adapted for fishing is labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00777,JAMB,Biology,,,medium,1998,,"Toes of the feet ending in sharp, curved hook suitable for holding and tearing are most likely to belong to the bird with the bill in",,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00778,JAMB,Biology,,,medium,1999,,The structure labelled II is used for,,tasting,feeling,biting,sucking,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00779,JAMB,Biology,,,medium,1999,,The structure labeled III represents the,,mandible,palp,proboscis,labium,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00780,JAMB,Biology,,,medium,1999,,The part labelled III is for,,protection,insulation,lubrication,growth,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00781,JAMB,Biology,,,medium,1999,,The structure labelled II is known as,,sweat gland,lymph vessel,blood vessel,nerve ending,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00782,JAMB,Biology,,,medium,1999,,The structure labelled II articulates with III to form,,sliding joint,hinge joint,pivot joint,ball-and-socket joint,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00783,JAMB,Biology,,,medium,1999,,Which of the bones is the radius?,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00784,JAMB,Biology,,,medium,2000,,The part that will develop into an organ for feeling is labelled,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00785,JAMB,Biology,,,medium,2000,,The part labelled II is the?,,silk thread,thorax,fore wing,anchor,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00786,JAMB,Biology,,,medium,2000,,The parts labelled I and II make up the,,glomerulus,convoluted tubules,Malpighian body,Bowman's capsule,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00787,JAMB,Biology,,,medium,2000,,"In mammals, reabsorption of salt takes place in",,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00788,JAMB,Biology,,,medium,2000,,The substance labelled II originates from,,III only,IV only,I and IV,III and Iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00789,JAMB,Biology,,,medium,2000,,The gas occupying the space labelled I is,,carbon (IV) oxide,nitrogen,hydrogen,oxygen,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00790,JAMB,Biology,,,medium,2000,,The part labelled II is the,,mesocarp,pericarp,endocarp,epicarp,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00791,JAMB,Biology,,,medium,2000,,The fruit represented is mainly dispersed by?,,animals,water,wind,birds,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00792,JAMB,Biology,,,medium,2000,,The soil becomes toxic to plants when the concentration of its essential elements is in the range labelled,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00793,JAMB,Biology,,,medium,2000,,The range at which soil essential elements concentration is recorded for optimal plant growth is marked,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00652,JAMB,Commerce,,,medium,1994,,What are fixtures and fittings in a balance sheet?,,liquid capital,current assets,fixed assets,working capital,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00653,JAMB,Commerce,,,medium,1994,,"What is the working capital as at December 31,1992?",,₦65 250,₦60 000,₦48 650,₦41 950,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00654,JAMB,Commerce,,,medium,1994,,"A company earned a total revenue of ₦108 million with a total cost of ₦91 million in 1991. If it paid 45% tax on its gross profit for that year, determine its net profit.",,₦24.65 million,₦17.00million,₦9. 35 million,₦7.65million,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00655,JAMB,Commerce,,,medium,1998,,Use the information Above to answer this question What is the current ratio?,,4:1,4.5:1,5:1,25.5:1,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00656,JAMB,Commerce,,,medium,1998,,Use the information above to answer this question What is the ratio?,,2.95:1,4.25:1,4.75:1,"5,55:1",,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00657,JAMB,Commerce,,,medium,1998,,Which of the following sequences can best fit into the structure above?,,People control ideals,Material production ideas,Finance marketing production,Material production product,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00658,JAMB,Commerce,,,medium,1999,,Use the document below to answer question Okon Etim Esin is the?,,debtor,creditor,exporter,importer,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00659,JAMB,Commerce,,,medium,1999,,The document represents a,,Bill of exchange,Cheque,Money order,A. Promissory note,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00660,JAMB,Commerce,,,medium,2000,,Determined the circulating capital?,,"₦250,000","₦245,000","₦235,000","₦225,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00661,JAMB,Commerce,,,medium,2000,,The chart above represent the?,,product mix relationship,marketing mix relationship,promotion mix elationship,advertising mix relationship,,,jamb-archive|needs-key|needs-figure,past-question,draft
COM-J00662,JAMB,Commerce,,,medium,2000,,The organizational structure above represents,,line and functional structure,line and staff structure,functional structure,line structure,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00804,JAMB,Economics,,,medium,1990,,The flow labelled Y refers to,,real income,factor payment,factor input,national income,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00805,JAMB,Economics,,,medium,1990,,The lower half of the diagram indicates,,the flow of goods and services,payments for goods and services,the flow of income,government transactions,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00806,JAMB,Economics,,,medium,1990,,The relationship between tax rate and income which is relevant to a progressive tax is shown by,,curve X,curveY,curve Z,curve X and Z,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00807,JAMB,Economics,,,medium,1990,,THE RELATIONSHIP BETWEEN TAX RATE AND INCOME WHICH IS RELEVANT TO A PROPORTIONAL TAX IS DEPICTED BY,,CURVES Z AND Y,CURVE X,CURVE Z,CURVE Y,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00808,JAMB,Economics,,,medium,1990,,"In the diagram above, RTX and STY are the marginal cost and the average cost curves responsively of a perfectly competitive firm. The supply curve of the firm is indicated by",,TX,RT,ST,TY,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00809,JAMB,Economics,,,medium,1990,,"Which of the following graphs represents the price-quantity relationship between tea and lemon, if they are perfect complements? choose the answer from the option above",,A,B,C,D,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00810,JAMB,Economics,,,medium,1991,,"Consider the following diagram where XYZ represents the average curve of a firm. XY shows that as out put increases the average declines. However, this decline cannot continue indefinitely because",,managerial economies,indivisibilities,the extent of the market,the pooling of dissimilar risks,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00811,JAMB,Economics,,,medium,1991,,The firm portrayed is selling in,,a purely competitive market,a market in which demand elastic at all prices,an imperfectly competitive markket,a market in which companies produce homogeneous commodities,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00812,JAMB,Economics,,,medium,1991,,Demand is relatively inelastic,,at P 2 range,in the P 2 P 4 price range,at P 3 only,at any price below P 2,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00813,JAMB,Economics,,,medium,1991,,"Consider the table which shows output (o), total cost (TC)of production and marginal cost (MC) for a firm in a competitive market. Suppose price (P) = ₦12, what is the maximum profit the firm can make ?",,₦2000.00,1 200.00,1000.00,400.00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00814,JAMB,Economics,,,medium,1991,,The excess profit made by the firm in the short-run is represented by,,ORTZ,OPVY,ORTW,ORSX,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00815,JAMB,Economics,,,medium,1991,,The long-run equilibrium price and quantity for the firm are respectively,,"OP,OY","OR,OZ","OR,OX","OQ,OZ",,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00816,JAMB,Economics,,,medium,1991,,The value of total output in the economy using the value added approach is,,₦57.00,37.00,20.00,15.00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00817,JAMB,Economics,,,medium,1991,,Which of the following statements must hold if price discrimination is to be possible?,,Elasticities in the various markets must not differ,The seller must recognise the possibility of resale,The market must not be separated but integrated,The markets should be seperable and there should be no resale.,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00818,JAMB,Economics,,,medium,1992,,"In the diagram, the profit maximizing output is",,Q 1 while 1 = AC and II = MC,"Q 1 , while l = MC and ll = AC","Q 2 , while l = MC and ll AC","Q 3 , while l = AC and ll = MC",,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00819,JAMB,Economics,,,medium,1992,,"if in the graph, it is assumed that the price is initially P 1 , it can be deduced that price will",,fall because there is a surplus,remain constant because it is the equilibrium price,rise because there is a shortage,double,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00820,JAMB,Economics,,,medium,1992,,Calculate the marginal physical product of the last unit of input,,o,2,4,10,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00821,JAMB,Economics,,,medium,1992,,At what level of input has diminishing marginal returns set in?,,3,16,20,22,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00822,JAMB,Economics,,,medium,1993,,"Given an output of 3 units, the average is",,₦16.00,₦18.00,20.00,24.00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00823,JAMB,Economics,,,medium,1993,,Determine the marginal revenue if the total revenue is 80.00,,6.00,12.00,14.00,18.00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00824,JAMB,Economics,,,medium,1993,,"In the diagram, the marginal propensity to consume (MPC) is equal to",,(frac{RP}{TP}),(frac{TP}{RP}),(frac{RT}{RP}),(frac{RT}{TP}),,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00825,JAMB,Economics,,,medium,1993,,"In the diagram above, what is the lowest possible price the monopolist could charge and still break even without there being excess demand?",,P d,P 2,P 3,P 4,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00826,JAMB,Economics,,,medium,1993,,"From the diagram above, a shift in the demand curve from D o D o to D 1 D 1 implies",,a rise in the demand for the commodity,a fluctuation in the demand for the commodity,a fall in the demand for the commodity,an equilibrrium in the demand for the commodity,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00827,JAMB,Economics,,,medium,1993,,Using the table calculate the net income,,₦58m,₦54m,₦50m,₦46m,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00828,JAMB,Economics,,,medium,1993,,What type of unemployment is revealed by the dotted lines on the graph?,,frictional unemployment,Cyclical unemployment,Circular unemployment,Underemployment,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00829,JAMB,Economics,,,medium,1993,,The above diagram showing the maximum possible combination of commodities X and Y produced in Nigeria is called the,,Production indicator,Maximum production curve,Production possibility curve,Total output curve,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00830,JAMB,Economics,,,medium,1993,,How many units of good X is produced for 8 units of commodity Y?,,80,40,20,O,,,jamb-archive|needs-key|needs-figure,past-question,draft
