question_id,subject,year,topic,question_text,option_a,option_b,option_c,option_d,correct_option,assessment,verdict
PHY-0766,Physics,2023,"Mechanics, Motion, and Energy","A 200 kg load is raised using a 110 m long lever as shown in the diagram above. The load is 10m from the pivot P. If the efficiency of the the lever is 80%, find the effort E required to lift the load. [Take g = 10ms-2]",250,300,450,200,A,NO data found - probably unanswerable,
PHY-0771,Physics,2023,"Mechanics, Motion, and Energy","A 400 N box is being pushed across a level floor at a constant speed by a force P of 100 N at an angle of 30.0° to the horizontal, as shown in the the diagram below. What is the coefficient of kinetic friction between the box and the floor?",0.19,0.24,0.40,0.22,B,likely fine - data appears inline,
PHY-0792,Physics,2023,Electronics and Alternating Current,"From the diagram above, if the potential differences across the resistor, capacitor, and inductor are 30V, 120V, and 60V, respectively, the effective potential difference is",81,67,59,73,B,NO data found - probably unanswerable,
CHM-0850,Chemistry,2024,Atomic Structure and Chemical Bonding,The table above shows the formulae of some ions. In which of these compounds is the formula not correct?,"Aluminiumtetraoxosulphate(VI), Al\(_2\)(SO\(_4\))\(_3\)","Calciumtrioxonitrate(V), Ca(NO\(_3\))\(_2\)","Iron(III)bromide, Fe\(_3\)Br","Potassiumsulphide, K\(_2\)S",C,NO data found - probably unanswerable,
CHM-0871,Chemistry,2024,Organic Chemistry,"COMPOUND S T U V W FORMULA ROR' RCOOH' RCOR' ROH' RCOOR' From the table above, which of these two compounds can form functional group isomers?",S and T,T and U,S and V,T and V,C,NO data found - probably unanswerable,
BIO-0504,Biology,2018,Ecology and Environment,Study the diagram of a food chain shown and use; it to answer the question. P → Q → R → S → T The organism designated P in the food chain above is normally sustained by energy from,sunlight,carbohydrates,green plants,mineral salts,A,likely fine - data appears inline,
BIO-0505,Biology,2018,Ecology and Environment,Study the diagram of a food chain shown and use; it to answer the question. P → Q → R → S → T Which of the following statements best describes the organism designated R? It,feeds on S,is a primary consumer,is a producer as well as a consumer,is a secondary consumer,D,likely fine - data appears inline,
ECO-0668,Economics,2021,International Trade,Use the table below to answer the question below; The international production set for Nigeria and Austria is; Products Nigeria Austria Cocoa 20 tonnes 12 tonnes Lace 1o metres 8 metres The Opportunity cost ratio tor cocoa and lace Tor Austria and Nigeria is_______,1.5:2,2:2,2:1.5,0.5:1.5,A,NO data found - probably unanswerable,
ECO-0669,Economics,2021,International Trade,"Use the table below to answer the question below; The international production set for Nigeria and Austria is; Products Nigeria Austria Cocoa 20 tonnes 12 tonnes Lace 1o metres 8 metres From the table, it can be deduced that_______",Nigeria should produce cocoa and lace,Nigeria can benefit from producing lace only,Austria should produce lace and Nigeria should produce cocoa,Austria should produce cocoa and lace,C,NO data found - probably unanswerable,
ECO-0759,Economics,2022,Population and Statistics,"The pie chart above represents the total population of a school of 1,200. The shaded area of 60° shows the population of the underaged pupils. What is the population of the matured students?",600,800,1000,1200,C,likely fine - data appears inline,
ECO-0813,Economics,2023,Basic Economic Concepts and Systems,Suppose the public expenditure as a percentage of GDP of four countries is shown in the table below A 40% B 50% C 33% D 36% Which type of economy exists in these countries?,Traditional,Planned,Pure market,Mixed,D,NO data found - probably unanswerable,
ECO-0963,Economics,,Theory of Production and Distribution,"A labour market diagram shows that as the minimum wage is set above the market equilibrium wage, the number of workers unemployed rises. This diagram illustrates the relationship between",minimum wage and unemployment,equilibrium wage rate and the Phillips curve,two arbitrary wage levels with no economic meaning,wage rate and inflation only,A,NO data found - probably unanswerable,
GEO-0495,Geography,2019,Economic Geography and Trade,"Textile Industry Petroleum Industry Iron and Steel industry Cosmetics Industry Automobile Industry 7.2° 172.8° 115.2° 43.2° 21.6° The table above shows the employment distribution in a town with the share of the different industries depicted in degrees of a pie chart. The total number of workers in the town is 25,000. What is the total number of workers in the petroleum industry?","25,000","12,000","3,000","10,000",B,likely fine - data appears inline,
GEO-0496,Geography,2019,Economic Geography and Trade,"Textile Industry Petroleum Industry Iron and Steel industry Cosmetics Industry Automobile Industry 7.2° 172.8° 115.2° 43.2° 21.6° The table above shows the employment distribution in a town with the share of the different industries depicted in degrees of a pie chart. The total number of workers in the town is 25,000. The proportion of workers in the iron and steel industry, in relation to the number off workers in the town is",0.32,0.06,0.12,0.26,A,likely fine - data appears inline,
GEO-0846,Geography,,Industry and Natural Resources,"Based on the export table above, Nigeria's total groundnut export between 2000 and 2003 amounted to",620 thousand tonnes,500 thousand tonnes,480 thousand tonnes,550 thousand tonnes,D,NO data found - probably unanswerable,
